county,year,weekwage,pctblk1990,pct65p1990,pctunivp1990,pctHSp1990,medhhinc1990,pctbelowPL1990,lnemp,lnest,lnweekwage,group,adv_int,frprof,frac_in_eng_prog,carnegie1_enr,indivhomeinternet00_cty,npatent1980s,netmig,highinc,highind,highpop,surv_deeppost95,higheduc,missing,surv_deeppost_91,surv_deeppost_92,surv_deeppost_93,surv_deeppost_94,surv_deeppost_95,surv_deeppost_96,surv_deeppost_97,surv_deeppost_98,surv_deeppost_99,surv_deeppost_00,surv_deeppost_01,educ_inc_ind_pop_dum_surv_deep91,educ_inc_ind_pop_dum_surv_deep92,educ_inc_ind_pop_dum_surv_deep93,educ_inc_ind_pop_dum_surv_deep94,educ_inc_ind_pop_dum_surv_deep95,educ_inc_ind_pop_dum_surv_deep96,educ_inc_ind_pop_dum_surv_deep97,educ_inc_ind_pop_dum_surv_deep98,educ_inc_ind_pop_dum_surv_deep99,educ_inc_ind_pop_dum_surv_deep01,allhigh,wagegrowth,iv_num_arpanet_nodes,iv_num_bitnet,iv_first_price_cap,iv_cost_per_loop_monthly,iv_bartik,iv_competitiondeep,netmig95,educ_inc_ind_pop_dum_surv_deep00,lnpop,iv_prog_in_oth,change_totalpop,change_pctblk,change_pctunivp,change_pctHSp,change_pct65,change_netmig,state,avgdmest,basic_int,msadum,msa,pop_surv_deeppost00,inc_surv_deeppost00,inc_dum_surv_deeppost00,ind_surv_deeppost00,ind_dum_surv_deeppost00,inc_ind_dum_surv_deeppost00,inc_pop_dum_surv_deeppost00,ind_pop_dum_surv_deeppost00,educ_surv_deeppost00,educ_dum_surv_deeppost00,educ_ind_dum_surv_deeppost00,educ_pop_dum_surv_deeppost00,educ_inc_ind_pop_surv_deep00,highinc2000,higheduc2000,highind2000,educ_inc_dum_surv_deeppost00,pc_per_emp,msa_allhigh,pctunempwt,pctunemphighskillwt,surv_deeppost00_all,highpop2000,allhigh2000,pop_dum_surv_deeppost00,wagediff,empdiff,estdiff,surv_deepwidewt_county,surv_deepalt1wt_county,surv_deepalt2wt_county,surv_deepalt3wt_county,deep_county,surv_deep_county,deeppost00,surv_deep_newweight
39169,2000,533,.015345798,.11633042,.1395667,.73655999,29190,.11655898,10.629972,7.7689562,6.2785215,2125,.13268238,.31976578,.00025418497,0,0,408,-65,1,0,0,.13268238,0,1,0,0,0,0,0,0,0,0,0,.13268238,0,0,0,0,0,0,0,0,0,0,0,0,.12210526,0,1,95,23.274137,.12777528,.15070531,662,0,11.52743,35.743217,.094923928,-.0030927416,-.026608422,-.2100482,.005877465,216,OH,.25490198,.99869722,0,,13462.087,3872.9988,.13268238,.029117633,0,0,.13268238,0,.018518044,0,0,0,12035694,1,0,0,0,.38530099,1,,,.13268238,0,0,0,.11520672,.066454887,.078213215,.26732832,.22005053,.24569981,.22005053,.11764706,.13229705,.10991984,.13799796
39171,2000,533,.00062236172,.13700075,.089397445,.76112109,28451,.075536318,9.7623272,6.7238326,6.2785215,2126,.16919868,.25111035,0,0,0,204,-17,1,0,0,.16919868,0,1,0,0,0,0,0,0,0,0,0,.16919868,0,0,0,0,0,0,0,0,0,0,0,0,.18973215,0,0,95,23.274137,.13033271,.08229696,274,0,10.517484,23.021017,.058642562,.0071606329,-.018639453,-.2123158,.0016131103,115,OH,.4642857,.66059911,0,,6252.9063,4813.8716,.16919868,.038869139,0,0,0,0,.015125929,0,0,0,3653528.8,1,0,0,0,.14036237,1,,,.16919868,0,0,0,.17372847,-.029054642,.025564671,.19676079,.19676079,.19676079,.19676079,.21428572,.24113463,.14053017,.22347032
39173,2000,578,.010311736,.10124571,.21899612,.83840168,31197,.10572628,10.772267,7.8071032,6.3595738,2127,.062969871,.38865936,.00071921991,.14491445,0,353,-11,1,0,0,.062969871,1,1,0,0,0,0,0,0,0,0,0,.062969871,0,0,0,0,0,0,0,0,0,0,0,0,.20668058,0,1,95,23.274137,.12549442,.077772193,885,0,11.637521,27.78838,.066562071,.0040028887,-.047088578,-.25665039,.0074562281,-74,OH,.48148149,.85456687,1,8400,7132.5342,1964.4711,.062969871,.014593652,0,0,.062969871,0,.013790158,.062969871,0,.062969871,11293389,1,1,0,.062969871,.33221975,0,.0747038651354712,.0286241680532446,.062969871,0,0,0,.18787336,.22600555,.11498976,.13613036,.15624674,.17453687,.15624674,.055555556,.063756198,.049299315,.066610694
39175,2000,484,.00089871482,.14658038,.087699555,.77234685,27454,.084946878,9.0957146,6.2557502,6.182085,2128,.084912099,.25371706,0,0,0,64,-20,0,0,0,.084912099,0,1,0,0,0,0,0,0,0,0,0,.084912099,0,0,0,0,0,0,0,0,0,0,0,0,.22531645,0,0,95,23.274137,.12334954,.14954242,29,0,10.010277,18.471767,.028964426,-.00054949184,-.022988297,-.23050427,.0080380887,20,OH,.46666667,.87933838,0,,1889.6338,2331.1768,0,.012136161,0,0,0,0,.0074467533,0,0,0,650268.06,0,0,0,0,.18489239,1,,,.084912099,0,0,0,.20319939,.093875885,.013526917,.15321684,.084912099,.15321684,.084912099,.06666667,.082875751,.038860664,.07443966
40001,2000,411,.00021714348,.13528039,.095680699,.56087112,16886,.26654199,8.1797609,5.3565865,6.0185933,2129,.15975837,.26718917,0,0,0,1,-25,0,0,0,.15975837,0,1,0,0,0,0,0,0,0,0,0,.15975837,0,0,0,0,0,0,0,0,0,0,0,0,.18443803,0,0,99,24.427273,.11382925,0,4,0,9.8212461,58.276562,.13283901,.00082858338,-.031379148,-.12210456,-.013976082,-25,OK,.60000002,.8060869,0,,2942.9089,2697.6799,0,.021120004,0,0,0,0,.015285793,0,0,0,628576.81,0,0,0,0,.11199476,1,,,.15975837,0,0,0,.16926861,-.070858955,.058269024,.15975837,.15975837,.15975837,.15975837,.2,.21996984,.14208667,.44772857
40005,2000,358,.059477225,.15393646,.10229995,.59942502,13898,.3107146,7.495542,5.2832036,5.8805332,2131,0,.28742269,0,0,0,7,-27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.23875433,0,0,99,24.427273,.06334319,0,153,0,9.4554806,23.812222,.082651965,-.00089951605,-.03339716,-.12598205,-.00457412,-27,OK,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,.21410656,.090654373,.090246677,0,0,0,0,0,0,0,0
40011,2000,404,.043504797,.19285092,.1246638,.71745563,20395,.200286,7.7756958,5.5683446,6.0014148,2134,0,.35779005,0,0,0,28,-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16091955,0,0,99,24.427273,.098340929,0,-48,0,9.3474903,23.105631,.043169715,.02062346,-.028127261,-.19836003,-.026518255,-23,OK,.5,.59798849,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.14827785,1,,,0,0,0,0,.14921236,.08769846,-.018904209,0,0,0,0,0,0,0,0
40013,2000,376,.013150924,.17040107,.16957383,.67428148,16610,.24500048,9.1699352,6.4409466,5.9295893,2135,0,.36105606,.00054728234,0,0,15,37,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.21290323,0,0,99,24.427273,.14741643,0,401,0,10.376268,5.9530554,.12973005,.0015203413,-.052429438,-.18337855,-.016790733,-105,OK,.5,.59009731,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,.32179436,1,,,0,0,0,0,.19301701,.36681175,.034066677,0,0,0,0,0,0,0,0
40015,2000,433,.02538071,.16605753,.11631023,.66323632,17857,.27774128,8.5195904,6.2105999,6.0707378,2136,0,.35249516,0,0,0,25,-58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.20612814,0,0,99,24.427273,.17445877,0,373,0,10.293839,0,.020101178,.0064269174,-.022489756,-.16266382,-.016737461,-76,OK,0,.46106398,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.61247468,1,,,0,0,0,0,.1874156,.076258659,-.0099902153,.44010493,.44010493,.44010493,.44010493,0,0,0,0
40017,2000,687,.024405649,.082960397,.16820867,.82888108,33855,.084571302,9.7684698,7.3178763,6.5323343,2137,.1014279,.40266398,0,0,0,67,285,1,0,0,.1014279,1,1,0,0,0,0,0,0,0,0,0,.1014279,0,0,0,0,0,0,0,0,0,0,0,0,.54035872,0,0,99,24.427273,.1026097,.1,968,0,11.217332,8.6862679,.16431078,-.0033444948,-.029592708,-.24952352,.011546828,-1070,OK,.30000001,.78943551,1,5880,7547.1484,3433.8416,.1014279,.024400568,0,0,0,0,.017061053,.1014279,0,0,10339430,1,1,0,.1014279,.14468995,0,.0637963981701315,.0252819262419994,.1014279,0,0,0,.43201542,.13547993,.1264472,.1014279,.1014279,.1014279,.1014279,.1,.12431363,.16618893,.24971382
